Epochs	Train Accuracy	Adv Train Accuracy	Test Accuracy	Adv Test Accuracy
1.0	27.946			
2.0	42.334			
3.0	52.226			
4.0	60.114			
5.0	65.136			
6.0	69.356			
7.0	72.744			
8.0	76.072			
9.0	78.864			
10.0	80.506			
11.0	82.3			
12.0	83.652			
13.0	84.678			
14.0	85.354			
15.0	86.07			
16.0	86.876			
17.0	87.066			
18.0	87.732			
19.0	88.102			
20.0	88.574			
21.0	88.852			
22.0	89.284			
23.0	89.296			
24.0	89.91			
25.0	90.176			
26.0	90.212			
27.0	90.508			
28.0	90.672			
29.0	90.808			
30.0	91.068			
31.0	91.248			
32.0	91.354			
33.0	91.544			
34.0	91.568			
35.0	91.924			
36.0	91.736			
37.0	91.996			
38.0	92.13			
39.0	92.504			
40.0	92.188			
41.0	92.474			
42.0	92.32			
43.0	92.75			
44.0	92.632			
45.0	92.584			
46.0	92.834			
47.0	93.0			
48.0	93.078			
49.0	92.9			
50.0	92.976			
51.0	93.01			
52.0	93.202			
53.0	93.138			
54.0	93.336			
55.0	93.304			
56.0	93.324			
57.0	93.496			
58.0	93.414			
59.0	93.328			
60.0	93.288			
61.0	93.548			
62.0	93.586			
63.0	93.524			
64.0	93.546			
65.0	93.5			
66.0	93.614			
67.0	93.538			
68.0	93.806			
69.0	93.774			
70.0	93.586			
71.0	93.834			
72.0	93.96			
73.0	93.844			
74.0	93.702			
75.0	93.764			
76.0	93.842			
77.0	94.036			
78.0	93.872			
79.0	94.338			
80.0	93.954			
81.0	93.986			
82.0	94.15			
83.0	94.1			
84.0	94.178			
85.0	93.816			
86.0	93.808			
87.0	94.316			
88.0	94.01			
89.0	94.248			
90.0	94.098			
91.0	93.974			
92.0	94.138			
93.0	94.238			
94.0	94.13			
95.0	94.324			
96.0	94.052			
97.0	94.216			
98.0	94.468			
99.0	94.228			
100.0	94.26			
101.0	97.578			
102.0	98.56			
103.0	98.896			
104.0	99.192			
105.0	99.274			
106.0	99.326			
107.0	99.42			
108.0	99.554			
109.0	99.582			
110.0	99.67			
111.0	99.688			
112.0	99.732			
113.0	99.738			
114.0	99.76			
115.0	99.78			
116.0	99.742			
117.0	99.828			
118.0	99.86			
119.0	99.826			
120.0	99.892			
121.0	99.87			
122.0	99.898			
123.0	99.882			
124.0	99.86			
125.0	99.914			
126.0	99.914			
127.0	99.898			
128.0	99.9			
129.0	99.924			
130.0	99.892			
131.0	99.908			
132.0	99.91			
133.0	99.922			
134.0	99.94			
135.0	99.906			
136.0	99.922			
137.0	99.908			
138.0	99.93			
139.0	99.92			
140.0	99.944			
141.0	99.948			
142.0	99.934			
143.0	99.92			
144.0	99.926			
145.0	99.948			
146.0	99.938			
147.0	99.946			
148.0	99.95			
149.0	99.928			
150.0	99.946			
151.0	99.954			
152.0	99.96			
153.0	99.974			
154.0	99.974			
155.0	99.978			
156.0	99.976			
157.0	99.97			
158.0	99.958			
159.0	99.98			
160.0	99.98			
161.0	99.974			
162.0	99.98			
163.0	99.976			
164.0	99.988			
165.0	99.992			
166.0	99.984			
167.0	99.99			
168.0	99.986			
169.0	99.982			
170.0	99.99			
171.0	99.99			
172.0	99.98			
173.0	99.984			
174.0	99.992			
175.0	99.996			
176.0	99.982			
177.0	99.998			
178.0	99.986			
179.0	99.988			
180.0	99.982			
181.0	99.99			
182.0	99.992			
183.0	99.984			
184.0	99.988			
185.0	99.986			
186.0	99.986			
187.0	99.994			
188.0	99.99			
189.0	99.986			
190.0	99.986			
191.0	99.986			
192.0	99.994			
193.0	99.982			
194.0	99.992			
195.0	99.996			
196.0	99.992			
197.0	99.992			
198.0	99.982			
199.0	99.992			
200.0	99.988			
